2026-09-25 19:27:19 | INFO | developement_utilities.log_creation.create_event_log_from_xes | ***Log imported***
2026-09-25 19:27:19 | INFO | developement_utilities.log_creation.create_event_log_from_xes | BPI_Challenge_2012
2026-09-25 19:27:27 | INFO | developement_utilities.log_creation.create_event_log_from_xes | ***Variants created***
2026-09-25 19:27:31 | INFO | developement_utilities.log_creation.create_event_log_from_xes | ***Traces Created from Variants***
2026-09-25 19:27:38 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:27:42 | INFO | src.concurrency_miner | ----activities in the log: {'A_FINALIZED', 'A_REGISTERED', 'O_CANCELLED', 'O_SELECTED', 'A_PARTLYSUBMITTED', 'O_ACCEPTED', 'A_DECLINED', 'W_Beoordelen fraude', 'A_ACCEPTED', 'A_ACTIVATED', 'W_Completeren aanvraag', 'O_SENT_BACK', 'W_Nabellen offertes', 'O_SENT', 'A_SUBMITTED', 'A_CANCELLED', 'W_Afhandelen leads', 'O_DECLINED', 'A_APPROVED', 'W_Valideren aanvraag', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'A_PREACCEPTED'}
2026-09-25 19:27:42 | INFO | src.concurrency_miner | Found Sequence split, Partitions: [{'A_SUBMITTED'}, {'A_PARTLYSUBMITTED'}, {'A_ACTIVATED', 'A_FINALIZED', 'W_Completeren aanvraag', 'O_SENT_BACK', 'W_Nabellen offertes', 'O_SENT', 'A_CANCELLED', 'W_Afhandelen leads', 'A_REGISTERED', 'O_DECLINED', 'O_CANCELLED', 'A_APPROVED', 'O_SELECTED', 'O_ACCEPTED', 'A_DECLINED', 'W_Beoordelen fraude', 'W_Valideren aanvraag', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'A_ACCEPTED', 'A_PREACCEPTED'}]
2026-09-25 19:27:47 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:27:47 | INFO | src.concurrency_miner | ----activities in the log: {'A_SUBMITTED'}
2026-09-25 19:27:47 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:27:48 | INFO | src.concurrency_miner | ----activities in the log: {'A_PARTLYSUBMITTED'}
2026-09-25 19:27:48 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:27:51 | INFO | src.concurrency_miner | ----activities in the log: {'A_FINALIZED', 'A_REGISTERED', 'O_CANCELLED', 'O_SELECTED', 'O_ACCEPTED', 'A_DECLINED', 'W_Beoordelen fraude', 'A_ACCEPTED', 'A_ACTIVATED', 'W_Completeren aanvraag', 'O_SENT_BACK', 'W_Nabellen offertes', 'O_SENT', 'A_CANCELLED', 'W_Afhandelen leads', 'O_DECLINED', 'A_APPROVED', 'W_Valideren aanvraag', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'A_PREACCEPTED'}
2026-09-25 19:27:53 | INFO | infrequent_concurrency_miner | ***Starting Infrequent Concurrency Miner***
2026-09-25 19:27:58 | INFO | src.concurrency_miner | ***Starting Fall Through***
2026-09-25 19:28:57 | INFO | src.concurrency_miner | Found activity_concurrent split, Partitions: [{'A_DECLINED'}, {'A_ACTIVATED', 'A_FINALIZED', 'W_Completeren aanvraag', 'O_SENT_BACK', 'W_Nabellen offertes', 'O_SENT', 'A_CANCELLED', 'W_Afhandelen leads', 'A_REGISTERED', 'O_DECLINED', 'O_CANCELLED', 'A_APPROVED', 'O_SELECTED', 'O_ACCEPTED', 'W_Beoordelen fraude', 'W_Valideren aanvraag', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'A_ACCEPTED', 'A_PREACCEPTED'}]
2026-09-25 19:29:01 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:01 | INFO | src.concurrency_miner | ----activities in the log: {'tau', 'A_DECLINED'}
2026-09-25 19:29:01 | INFO | src.concurrency_miner | Found Exclusive Choice split, Partitions: [{'tau'}, {'A_DECLINED'}]
2026-09-25 19:29:01 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:01 | INFO | src.concurrency_miner | ----activities in the log: {'tau'}
2026-09-25 19:29:01 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:01 | INFO | src.concurrency_miner | ----activities in the log: {'A_DECLINED'}
2026-09-25 19:29:01 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:05 | INFO | src.concurrency_miner | ----activities in the log: {'A_FINALIZED', 'A_REGISTERED', 'O_CANCELLED', 'O_SELECTED', 'O_ACCEPTED', 'W_Beoordelen fraude', 'A_ACCEPTED', 'A_ACTIVATED', 'W_Completeren aanvraag', 'O_SENT_BACK', 'W_Nabellen offertes', 'O_SENT', 'tau', 'A_CANCELLED', 'W_Afhandelen leads', 'O_DECLINED', 'A_APPROVED', 'W_Valideren aanvraag', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'A_PREACCEPTED'}
2026-09-25 19:29:05 | INFO | src.concurrency_miner | Found Exclusive Choice split, Partitions: [{'tau'}, {'A_ACTIVATED', 'A_FINALIZED', 'W_Completeren aanvraag', 'O_SENT_BACK', 'W_Nabellen offertes', 'O_SENT', 'A_CANCELLED', 'W_Afhandelen leads', 'A_REGISTERED', 'O_DECLINED', 'O_CANCELLED', 'A_APPROVED', 'O_SELECTED', 'O_ACCEPTED', 'W_Beoordelen fraude', 'W_Valideren aanvraag', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'A_ACCEPTED', 'A_PREACCEPTED'}]
2026-09-25 19:29:05 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:05 | INFO | src.concurrency_miner | ----activities in the log: {'tau'}
2026-09-25 19:29:05 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:08 | INFO | src.concurrency_miner | ----activities in the log: {'A_FINALIZED', 'A_REGISTERED', 'O_CANCELLED', 'O_SELECTED', 'O_ACCEPTED', 'W_Beoordelen fraude', 'A_ACCEPTED', 'A_ACTIVATED', 'W_Completeren aanvraag', 'O_SENT_BACK', 'W_Nabellen offertes', 'O_SENT', 'A_CANCELLED', 'W_Afhandelen leads', 'O_DECLINED', 'A_APPROVED', 'W_Valideren aanvraag', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'A_PREACCEPTED'}
2026-09-25 19:29:10 | INFO | infrequent_concurrency_miner | ***Starting Infrequent Concurrency Miner***
2026-09-25 19:29:13 | INFO | infrequent_concurrency_miner | Found FILTERED Sequence split, Partitions: [{'A_PREACCEPTED', 'W_Afhandelen leads'}, {'A_ACTIVATED', 'W_Completeren aanvraag', 'O_SENT_BACK', 'A_FINALIZED', 'O_SENT', 'W_Nabellen offertes', 'A_CANCELLED', 'A_REGISTERED', 'O_DECLINED', 'O_CANCELLED', 'A_APPROVED', 'O_SELECTED', 'O_ACCEPTED', 'W_Beoordelen fraude', 'W_Valideren aanvraag', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'A_ACCEPTED'}]
2026-09-25 19:29:18 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:18 | INFO | src.concurrency_miner | ----activities in the log: {'tau', 'W_Afhandelen leads', 'A_PREACCEPTED'}
2026-09-25 19:29:18 | INFO | src.concurrency_miner | Found Exclusive Choice split, Partitions: [{'tau'}, {'A_PREACCEPTED', 'W_Afhandelen leads'}]
2026-09-25 19:29:18 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:18 | INFO | src.concurrency_miner | ----activities in the log: {'tau'}
2026-09-25 19:29:18 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:19 | INFO | src.concurrency_miner | ----activities in the log: {'A_PREACCEPTED', 'W_Afhandelen leads'}
2026-09-25 19:29:19 | INFO | infrequent_concurrency_miner | ***Starting Infrequent Concurrency Miner***
2026-09-25 19:29:19 | INFO | infrequent_concurrency_miner | Found FILTERED Parallel split, Partitions: [{'A_PREACCEPTED'}, {'W_Afhandelen leads'}]
2026-09-25 19:29:19 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:19 | INFO | src.concurrency_miner | ----activities in the log: {'A_PREACCEPTED', 'tau'}
2026-09-25 19:29:19 | INFO | src.concurrency_miner | Found Exclusive Choice split, Partitions: [{'A_PREACCEPTED'}, {'tau'}]
2026-09-25 19:29:19 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:19 | INFO | src.concurrency_miner | ----activities in the log: {'A_PREACCEPTED'}
2026-09-25 19:29:19 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:19 | INFO | src.concurrency_miner | ----activities in the log: {'tau'}
2026-09-25 19:29:19 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:20 | INFO | src.concurrency_miner | ----activities in the log: {'tau', 'W_Afhandelen leads'}
2026-09-25 19:29:20 | INFO | src.concurrency_miner | Found Exclusive Choice split, Partitions: [{'tau'}, {'W_Afhandelen leads'}]
2026-09-25 19:29:20 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:20 | INFO | src.concurrency_miner | ----activities in the log: {'tau'}
2026-09-25 19:29:20 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:20 | INFO | src.concurrency_miner | ----activities in the log: {'W_Afhandelen leads'}
2026-09-25 19:29:20 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:23 | INFO | src.concurrency_miner | ----activities in the log: {'A_ACTIVATED', 'W_Completeren aanvraag', 'A_FINALIZED', 'O_SENT_BACK', 'W_Nabellen offertes', 'O_SENT', 'tau', 'A_CANCELLED', 'A_REGISTERED', 'O_DECLINED', 'O_CANCELLED', 'A_APPROVED', 'O_SELECTED', 'O_ACCEPTED', 'W_Valideren aanvraag', 'O_CREATED', 'W_Beoordelen fraude', 'W_Nabellen incomplete dossiers', 'A_ACCEPTED'}
2026-09-25 19:29:23 | INFO | src.concurrency_miner | Found Exclusive Choice split, Partitions: [{'tau'}, {'O_CANCELLED', 'A_ACTIVATED', 'A_APPROVED', 'A_FINALIZED', 'W_Completeren aanvraag', 'O_SENT_BACK', 'O_SELECTED', 'O_SENT', 'W_Nabellen offertes', 'O_ACCEPTED', 'W_Valideren aanvraag', 'O_CREATED', 'W_Beoordelen fraude', 'W_Nabellen incomplete dossiers', 'A_CANCELLED', 'A_ACCEPTED', 'A_REGISTERED', 'O_DECLINED'}]
2026-09-25 19:29:23 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:23 | INFO | src.concurrency_miner | ----activities in the log: {'tau'}
2026-09-25 19:29:23 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:26 | INFO | src.concurrency_miner | ----activities in the log: {'A_ACTIVATED', 'W_Completeren aanvraag', 'A_FINALIZED', 'O_SENT_BACK', 'W_Nabellen offertes', 'O_SENT', 'A_CANCELLED', 'A_REGISTERED', 'O_DECLINED', 'O_CANCELLED', 'A_APPROVED', 'O_SELECTED', 'O_ACCEPTED', 'W_Valideren aanvraag', 'O_CREATED', 'W_Beoordelen fraude', 'W_Nabellen incomplete dossiers', 'A_ACCEPTED'}
2026-09-25 19:29:27 | INFO | infrequent_concurrency_miner | ***Starting Infrequent Concurrency Miner***
2026-09-25 19:29:30 | INFO | infrequent_concurrency_miner | Found FILTERED Loop split, Partitions: [{'W_Nabellen incomplete dossiers'}, {'A_ACTIVATED', 'W_Completeren aanvraag', 'O_SENT_BACK', 'A_FINALIZED', 'W_Nabellen offertes', 'O_SENT', 'A_CANCELLED', 'A_REGISTERED', 'O_DECLINED', 'O_CANCELLED', 'A_APPROVED', 'O_SELECTED', 'O_ACCEPTED', 'W_Valideren aanvraag', 'O_CREATED', 'W_Beoordelen fraude', 'A_ACCEPTED'}]
2026-09-25 19:29:34 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:29:35 | INFO | src.concurrency_miner | ----activities in the log: {'W_Nabellen incomplete dossiers', 'tau'}
2026-09-25 19:29:35 | INFO | src.concurrency_miner | Found Exclusive Choice split, Partitions: [{'W_Nabellen incomplete dossiers'}, {'tau'}]
