2026-09-25 19:01:12 | INFO | developement_utilities.log_creation.create_event_log_from_xes | ***Log imported***
2026-09-25 19:01:12 | INFO | developement_utilities.log_creation.create_event_log_from_xes | BPI_Challenge_2012
2026-09-25 19:01:21 | INFO | developement_utilities.log_creation.create_event_log_from_xes | ***Variants created***
2026-09-25 19:01:25 | INFO | developement_utilities.log_creation.create_event_log_from_xes | ***Traces Created from Variants***
2026-09-25 19:01:32 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:01:36 | INFO | src.concurrency_miner | ----activities in the log: {'O_CANCELLED', 'A_PREACCEPTED', 'O_CREATED', 'A_PARTLYSUBMITTED', 'W_Nabellen incomplete dossiers', 'W_Beoordelen fraude', 'A_ACCEPTED', 'W_Afhandelen leads', 'A_REGISTERED', 'A_DECLINED', 'W_Completeren aanvraag', 'W_Valideren aanvraag', 'O_SENT', 'A_ACTIVATED', 'A_SUBMITTED', 'A_FINALIZED', 'A_APPROVED', 'O_SELECTED', 'W_Nabellen offertes', 'A_CANCELLED', 'O_SENT_BACK', 'O_ACCEPTED', 'O_DECLINED'}
2026-09-25 19:01:36 | INFO | src.concurrency_miner | Found Sequence split, Partitions: [{'A_SUBMITTED'}, {'A_PARTLYSUBMITTED'}, {'A_ACTIVATED', 'O_CANCELLED', 'A_PREACCEPTED', 'W_Beoordelen fraude', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'A_FINALIZED', 'A_ACCEPTED', 'A_APPROVED', 'W_Afhandelen leads', 'O_SELECTED', 'A_REGISTERED', 'W_Nabellen offertes', 'A_DECLINED', 'A_CANCELLED', 'W_Completeren aanvraag', 'W_Valideren aanvraag', 'O_SENT_BACK', 'O_ACCEPTED', 'O_SENT', 'O_DECLINED'}]
2026-09-25 19:01:41 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:01:41 | INFO | src.concurrency_miner | ----activities in the log: {'A_SUBMITTED'}
2026-09-25 19:01:41 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:01:42 | INFO | src.concurrency_miner | ----activities in the log: {'A_PARTLYSUBMITTED'}
2026-09-25 19:01:42 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:01:45 | INFO | src.concurrency_miner | ----activities in the log: {'O_CANCELLED', 'A_PREACCEPTED', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'W_Beoordelen fraude', 'A_ACCEPTED', 'W_Afhandelen leads', 'A_REGISTERED', 'A_DECLINED', 'W_Completeren aanvraag', 'W_Valideren aanvraag', 'O_SENT', 'A_ACTIVATED', 'A_FINALIZED', 'A_APPROVED', 'O_SELECTED', 'W_Nabellen offertes', 'A_CANCELLED', 'O_SENT_BACK', 'O_ACCEPTED', 'O_DECLINED'}
2026-09-25 19:01:47 | INFO | infrequent_concurrency_miner | ***Starting Infrequent Concurrency Miner***
2026-09-25 19:01:52 | INFO | src.concurrency_miner | ***Starting Fall Through***
2026-09-25 19:03:18 | INFO | src.concurrency_miner | Found activity_concurrent split, Partitions: [{'A_DECLINED'}, {'A_ACTIVATED', 'O_CANCELLED', 'A_PREACCEPTED', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'W_Beoordelen fraude', 'A_FINALIZED', 'A_ACCEPTED', 'A_APPROVED', 'W_Afhandelen leads', 'O_SELECTED', 'A_REGISTERED', 'W_Nabellen offertes', 'A_CANCELLED', 'W_Completeren aanvraag', 'W_Valideren aanvraag', 'O_SENT_BACK', 'O_ACCEPTED', 'O_SENT', 'O_DECLINED'}]
2026-09-25 19:03:22 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:03:22 | INFO | src.concurrency_miner | ----activities in the log: {'A_DECLINED', 'tau'}
2026-09-25 19:03:22 | INFO | src.concurrency_miner | Found Exclusive Choice split, Partitions: [{'A_DECLINED'}, {'tau'}]
2026-09-25 19:03:22 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:03:22 | INFO | src.concurrency_miner | ----activities in the log: {'A_DECLINED'}
2026-09-25 19:03:22 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:03:23 | INFO | src.concurrency_miner | ----activities in the log: {'tau'}
2026-09-25 19:03:23 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:03:28 | INFO | src.concurrency_miner | ----activities in the log: {'O_CANCELLED', 'A_PREACCEPTED', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'W_Beoordelen fraude', 'A_ACCEPTED', 'W_Afhandelen leads', 'A_REGISTERED', 'W_Completeren aanvraag', 'W_Valideren aanvraag', 'O_SENT', 'A_ACTIVATED', 'A_FINALIZED', 'A_APPROVED', 'O_SELECTED', 'W_Nabellen offertes', 'A_CANCELLED', 'O_SENT_BACK', 'O_ACCEPTED', 'tau', 'O_DECLINED'}
2026-09-25 19:03:28 | INFO | src.concurrency_miner | Found Exclusive Choice split, Partitions: [{'tau'}, {'A_ACTIVATED', 'O_CANCELLED', 'A_PREACCEPTED', 'W_Beoordelen fraude', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'A_FINALIZED', 'A_ACCEPTED', 'A_APPROVED', 'W_Afhandelen leads', 'O_SELECTED', 'A_REGISTERED', 'W_Nabellen offertes', 'A_CANCELLED', 'W_Completeren aanvraag', 'W_Valideren aanvraag', 'O_SENT_BACK', 'O_ACCEPTED', 'O_SENT', 'O_DECLINED'}]
2026-09-25 19:03:28 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:03:28 | INFO | src.concurrency_miner | ----activities in the log: {'tau'}
2026-09-25 19:03:28 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:03:31 | INFO | src.concurrency_miner | ----activities in the log: {'O_CANCELLED', 'A_PREACCEPTED', 'O_CREATED', 'W_Nabellen incomplete dossiers', 'W_Beoordelen fraude', 'A_ACCEPTED', 'W_Afhandelen leads', 'A_REGISTERED', 'W_Completeren aanvraag', 'W_Valideren aanvraag', 'O_SENT', 'A_ACTIVATED', 'A_FINALIZED', 'A_APPROVED', 'O_SELECTED', 'W_Nabellen offertes', 'A_CANCELLED', 'O_SENT_BACK', 'O_ACCEPTED', 'O_DECLINED'}
2026-09-25 19:03:33 | INFO | infrequent_concurrency_miner | ***Starting Infrequent Concurrency Miner***
2026-09-25 19:03:37 | INFO | infrequent_concurrency_miner | Found FILTERED Sequence split, Partitions: [{'A_PREACCEPTED', 'W_Afhandelen leads'}, {'A_ACTIVATED', 'O_CANCELLED', 'A_CANCELLED', 'W_Completeren aanvraag', 'W_Valideren aanvraag', 'W_Nabellen incomplete dossiers', 'W_Beoordelen fraude', 'O_CREATED', 'A_FINALIZED', 'A_ACCEPTED', 'A_APPROVED', 'O_SENT_BACK', 'O_ACCEPTED', 'O_SENT', 'A_REGISTERED', 'O_SELECTED', 'O_DECLINED', 'W_Nabellen offertes'}]
2026-09-25 19:03:41 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:03:42 | INFO | src.concurrency_miner | ----activities in the log: {'W_Afhandelen leads', 'tau', 'A_PREACCEPTED'}
2026-09-25 19:03:42 | INFO | src.concurrency_miner | Found Exclusive Choice split, Partitions: [{'tau'}, {'A_PREACCEPTED', 'W_Afhandelen leads'}]
2026-09-25 19:03:42 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:03:42 | INFO | src.concurrency_miner | ----activities in the log: {'tau'}
2026-09-25 19:03:42 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:03:42 | INFO | src.concurrency_miner | ----activities in the log: {'A_PREACCEPTED', 'W_Afhandelen leads'}
2026-09-25 19:03:42 | INFO | infrequent_concurrency_miner | ***Starting Infrequent Concurrency Miner***
2026-09-25 19:03:42 | INFO | infrequent_concurrency_miner | Found FILTERED Parallel split, Partitions: [{'A_PREACCEPTED'}, {'W_Afhandelen leads'}]
2026-09-25 19:03:42 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:03:43 | INFO | src.concurrency_miner | ----activities in the log: {'A_PREACCEPTED', 'tau'}
2026-09-25 19:03:43 | INFO | src.concurrency_miner | Found Exclusive Choice split, Partitions: [{'A_PREACCEPTED'}, {'tau'}]
2026-09-25 19:03:43 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:03:43 | INFO | src.concurrency_miner | ----activities in the log: {'A_PREACCEPTED'}
2026-09-25 19:03:43 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:03:43 | INFO | src.concurrency_miner | ----activities in the log: {'tau'}
2026-09-25 19:03:43 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
2026-09-25 19:03:43 | INFO | src.concurrency_miner | ----activities in the log: {'W_Afhandelen leads', 'tau'}
2026-09-25 19:03:43 | INFO | src.concurrency_miner | Found Exclusive Choice split, Partitions: [{'W_Afhandelen leads'}, {'tau'}]
2026-09-25 19:03:43 | INFO | src.concurrency_miner | ---***Starting Concurrency Miner***
